2026-09-26T08:52:22.413Z [unmapped] start pid 97957: /opt/homebrew/bin/llama-server -m /Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf --port 8080 -c 16384 --jinja --host 127.0.0.1 -ngl 99
2026-09-26T08:52:22.444Z 0.00.000.475 I srv  llama_server: initializing ...
2026-09-26T08:52:22.609Z 0.00.166.232 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
2026-09-26T08:52:22.610Z 0.00.167.418 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
2026-09-26T08:52:22.611Z 0.00.168.028 I srv    load_model: loading model '/Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf'
2026-09-26T08:52:25.271Z 0.02.828.464 I cmn          init: llama threadpool init, n_threads = 6
2026-09-26T08:52:25.480Z 0.03.036.889 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
2026-09-26T08:52:25.487Z 0.03.044.035 I srv  llama_server: model loaded
2026-09-26T08:52:25.487Z 0.03.044.041 I srv  llama_server: listening on http://127.0.0.1:8080
2026-09-26T08:52:25.487Z 0.03.044.042 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
2026-09-26T08:52:25.939Z [unmapped] ready on :8080 after 3528 ms
2026-09-26T08:52:38.541Z 0.16.098.660 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2026-09-26T08:54:24.520Z 2.02.077.258 I slot print_timing: id  1 | task 1345 | n_gen =    253, tg =  25.30 t/s, tg_3s =  25.24 t/s
2026-09-26T08:54:27.547Z 2.05.104.195 I slot print_timing: id  1 | task 1345 | n_gen =    328, tg =  25.18 t/s, tg_3s =  24.78 t/s
2026-09-26T08:54:30.586Z 2.08.143.405 I slot print_timing: id  1 | task 1345 | n_gen =    404, tg =  25.15 t/s, tg_3s =  25.01 t/s
2026-09-26T08:54:31.943Z 2.09.500.206 I slot print_timing: id  1 | task 1345 | prompt eval time =    3909.20 ms /  1117 tokens (    3.50 ms per token,   285.74 tokens per second)
2026-09-26T08:54:31.943Z 2.09.500.210 I slot print_timing: id  1 | task 1345 |        eval time =   17381.66 ms /   438 tokens (   39.77 ms per token,    25.14 tokens per second)
2026-09-26T08:54:31.943Z 2.09.500.210 I slot print_timing: id  1 | task 1345 |       total time =   21290.86 ms /  1555 tokens
2026-09-26T08:54:31.943Z 2.09.500.211 I slot print_timing: id  1 | task 1345 |    graphs reused =       1751
2026-09-26T08:54:31.944Z 2.09.501.501 I slot      release: id  1 | task 1345 | stop processing: n_tokens = 4244, truncated = 0
2026-09-26T08:54:31.976Z 2.09.533.005 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.731 (> 0.100 thold), f_keep = 0.657
2026-09-26T08:54:31.976Z 2.09.533.158 I slot launch_slot_: id  1 | task 1787 | processing task, is_child = 0
2026-09-26T08:54:39.865Z 2.17.422.220 I slot print_timing: id  1 | task 1787 | n_gen =    100, tg =  25.33 t/s, tg_3s =  25.58 t/s
2026-09-26T08:54:42.880Z 2.20.437.717 I slot print_timing: id  1 | task 1787 | n_gen =    176, tg =  25.27 t/s, tg_3s =  25.20 t/s
2026-09-26T08:54:45.908Z 2.23.464.716 I slot print_timing: id  1 | task 1787 | n_gen =    253, tg =  25.32 t/s, tg_3s =  25.44 t/s
2026-09-26T08:54:48.915Z 2.26.472.340 I slot print_timing: id  1 | task 1787 | n_gen =    329, tg =  25.31 t/s, tg_3s =  25.27 t/s
2026-09-26T08:54:51.936Z 2.29.493.388 I slot print_timing: id  1 | task 1787 | n_gen =    402, tg =  25.09 t/s, tg_3s =  24.16 t/s
2026-09-26T08:54:53.354Z 2.30.911.160 I slot print_timing: id  1 | task 1787 | prompt eval time =    3980.12 ms /  1125 tokens (    3.54 ms per token,   282.65 tokens per second)
2026-09-26T08:54:53.354Z 2.30.911.163 I slot print_timing: id  1 | task 1787 |        eval time =   17397.78 ms /   438 tokens (   39.81 ms per token,    25.12 tokens per second)
2026-09-26T08:54:53.354Z 2.30.911.164 I slot print_timing: id  1 | task 1787 |       total time =   21377.90 ms /  1563 tokens
2026-09-26T08:54:53.354Z 2.30.911.165 I slot print_timing: id  1 | task 1787 |    graphs reused =       2185
2026-09-26T08:54:53.355Z 2.30.912.392 I slot      release: id  1 | task 1787 | stop processing: n_tokens = 4252, truncated = 0
2026-09-26T08:54:53.711Z 2.31.267.826 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 0.633
2026-09-26T08:54:53.711Z 2.31.267.975 I slot launch_slot_: id  1 | task 2229 | processing task, is_child = 0
2026-09-26T08:54:57.666Z 2.35.223.373 I slot print_timing: id  1 | task 2229 | n_gen =    100, tg =  25.83 t/s, tg_3s =  26.09 t/s
2026-09-26T08:55:00.677Z 2.38.234.191 I slot print_timing: id  1 | task 2229 | n_gen =    178, tg =  25.86 t/s, tg_3s =  25.91 t/s
2026-09-26T08:55:03.706Z 2.41.263.034 I slot print_timing: id  1 | task 2229 | n_gen =    256, tg =  25.83 t/s, tg_3s =  25.75 t/s
2026-09-26T08:55:06.723Z 2.44.280.359 I slot print_timing: id  1 | task 2229 | n_gen =    334, tg =  25.83 t/s, tg_3s =  25.85 t/s
2026-09-26T08:55:07.922Z 2.45.479.209 I slot print_timing: id  1 | task 2229 | prompt eval time =     122.21 ms /     4 tokens (   30.55 ms per token,    32.73 tokens per second)
2026-09-26T08:55:07.922Z 2.45.479.213 I slot print_timing: id  1 | task 2229 |        eval time =   14088.93 ms /   365 tokens (   38.71 ms per token,    25.84 tokens per second)
2026-09-26T08:55:07.922Z 2.45.479.213 I slot print_timing: id  1 | task 2229 |       total time =   14211.14 ms /   369 tokens
2026-09-26T08:55:07.922Z 2.45.479.214 I slot print_timing: id  1 | task 2229 |    graphs reused =       2547
2026-09-26T08:55:07.923Z 2.45.480.228 I slot      release: id  1 | task 2229 | stop processing: n_tokens = 3058, truncated = 0
2026-09-26T08:55:07.942Z 2.45.499.559 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.755 (> 0.100 thold), f_keep = 0.880
2026-09-26T08:55:07.942Z 2.45.499.673 I slot launch_slot_: id  1 | task 2595 | processing task, is_child = 0
2026-09-26T08:55:14.921Z 2.52.478.177 I slot print_timing: id  1 | task 2595 | n_gen =    100, tg =  25.74 t/s, tg_3s =  26.00 t/s
2026-09-26T08:55:17.957Z 2.55.514.363 I slot print_timing: id  1 | task 2595 | n_gen =    178, tg =  25.72 t/s, tg_3s =  25.69 t/s
2026-09-26T08:55:20.981Z 2.58.538.164 I slot print_timing: id  1 | task 2595 | n_gen =    256, tg =  25.74 t/s, tg_3s =  25.80 t/s
2026-09-26T08:55:24.007Z 3.01.564.619 I slot print_timing: id  1 | task 2595 | n_gen =    334, tg =  25.75 t/s, tg_3s =  25.77 t/s
2026-09-26T08:55:25.466Z 3.03.023.407 I slot print_timing: id  1 | task 2595 | prompt eval time =    3132.49 ms /   873 tokens (    3.59 ms per token,   278.69 tokens per second)
2026-09-26T08:55:25.466Z 3.03.023.411 I slot print_timing: id  1 | task 2595 |        eval time =   14391.17 ms /   371 tokens (   38.90 ms per token,    25.71 tokens per second)
2026-09-26T08:55:25.466Z 3.03.023.412 I slot print_timing: id  1 | task 2595 |       total time =   17523.66 ms /  1244 tokens
2026-09-26T08:55:25.466Z 3.03.023.413 I slot print_timing: id  1 | task 2595 |    graphs reused =       2914
2026-09-26T08:55:25.467Z 3.03.024.180 I slot      release: id  1 | task 2595 | stop processing: n_tokens = 3933, truncated = 0
2026-09-26T08:55:25.921Z 3.03.477.657 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2026-09-26T08:55:25.921Z 3.03.477.731 I slot launch_slot_: id  0 | task 2970 | processing task, is_child = 0
2026-09-26T08:55:26.238Z 3.03.794.544 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 44253666524
2026-09-26T08:55:26.239Z 3.03.796.358 I slot launch_slot_: id  3 | task 2971 | processing task, is_child = 0
2026-09-26T08:55:32.283Z 3.09.839.836 I slot print_timing: id  0 | task 2970 | prompt processing, n_tokens =   1585, progress = 0.75, t =   6.04 s / 262.29 tokens per second
2026-09-26T08:55:32.674Z 3.10.230.664 I slot print_timing: id  3 | task 2971 | prompt processing, n_tokens =    463, progress = 0.14, t =   6.04 s / 76.63 tokens per second
2026-09-26T08:55:38.905Z 3.16.462.178 I slot print_timing: id  0 | task 2970 | prompt processing, n_tokens =   2078, progress = 0.99, t =  12.67 s / 164.07 tokens per second
2026-09-26T08:55:39.107Z 3.16.663.921 I slot print_timing: id  3 | task 2971 | prompt processing, n_tokens =   2018, progress = 0.60, t =  12.66 s / 159.34 tokens per second
2026-09-26T08:55:40.950Z 3.18.507.704 I slot print_timing: id  0 | task 2970 | prompt processing, n_tokens =   2097, progress = 1.00, t =  14.71 s / 142.55 tokens per second
2026-09-26T08:55:41.995Z 3.19.552.410 I slot print_timing: id  3 | task 2971 | prompt processing, n_tokens =   2868, progress = 0.85, t =  14.71 s / 194.97 tokens per second
2026-09-26T08:55:43.698Z 3.21.254.874 I slot print_timing: id  3 | task 2971 | prompt processing, n_tokens =   3349, progress = 0.99, t =  17.46 s / 191.85 tokens per second
2026-09-26T08:55:43.906Z 3.21.462.767 I slot print_timing: id  3 | task 2971 | prompt processing, n_tokens =   3380, progress = 1.00, t =  17.66 s / 191.34 tokens per second
2026-09-26T08:55:50.792Z 3.28.349.226 I slot print_timing: id  0 | task 2970 | n_gen =    100, tg =  13.95 t/s, tg_3s =  14.10 t/s
2026-09-26T08:55:50.929Z 3.28.486.356 I slot print_timing: id  3 | task 2971 | n_gen =    100, tg =  14.44 t/s, tg_3s =  14.59 t/s
2026-09-26T08:55:53.837Z 3.31.393.771 I slot print_timing: id  0 | task 2970 | n_gen =    144, tg =  14.10 t/s, tg_3s =  14.45 t/s
2026-09-26T08:55:53.980Z 3.31.536.970 I slot print_timing: id  3 | task 2971 | n_gen =    144, tg =  14.44 t/s, tg_3s =  14.42 t/s
2026-09-26T08:55:56.891Z 3.34.448.510 I slot print_timing: id  0 | task 2970 | n_gen =    188, tg =  14.17 t/s, tg_3s =  14.40 t/s
2026-09-26T08:55:57.047Z 3.34.603.595 I slot print_timing: id  3 | task 2971 | n_gen =    188, tg =  14.41 t/s, tg_3s =  14.35 t/s
2026-09-26T08:55:59.916Z 3.37.473.725 I slot print_timing: id  0 | task 2970 | n_gen =    231, tg =  14.18 t/s, tg_3s =  14.21 t/s
2026-09-26T08:56:00.054Z 3.37.611.442 I slot print_timing: id  3 | task 2971 | n_gen =    231, tg =  14.39 t/s, tg_3s =  14.30 t/s
2026-09-26T08:56:02.076Z 3.39.633.677 I slot print_timing: id  0 | task 2970 | prompt eval time =   17458.03 ms /  2101 tokens (    8.31 ms per token,   120.35 tokens per second)
2026-09-26T08:56:02.076Z 3.39.633.681 I slot print_timing: id  0 | task 2970 |        eval time =   18378.82 ms /   262 tokens (   70.42 ms per token,    14.20 tokens per second)
2026-09-26T08:56:02.076Z 3.39.633.681 I slot print_timing: id  0 | task 2970 |       total time =   35836.84 ms /  2363 tokens
2026-09-26T08:56:02.076Z 3.39.633.683 I slot print_timing: id  0 | task 2970 |    graphs reused =       3170
2026-09-26T08:56:02.077Z 3.39.634.625 I slot      release: id  0 | task 2970 | stop processing: n_tokens = 2362, truncated = 0
2026-09-26T08:56:02.122Z 3.39.678.756 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.758 (> 0.100 thold), f_keep = 0.888
2026-09-26T08:56:02.122Z 3.39.678.908 I slot launch_slot_: id  0 | task 3238 | processing task, is_child = 0
2026-09-26T08:56:03.239Z 3.40.796.096 I slot print_timing: id  3 | task 2971 | n_gen =    263, tg =  13.67 t/s, tg_3s =  10.05 t/s
2026-09-26T08:56:06.279Z 3.43.836.431 I slot print_timing: id  3 | task 2971 | n_gen =    286, tg =  12.83 t/s, tg_3s =   7.56 t/s
2026-09-26T08:56:09.285Z 3.46.841.966 I slot print_timing: id  3 | task 2971 | n_gen =    329, tg =  13.01 t/s, tg_3s =  14.31 t/s
2026-09-26T08:56:11.729Z 3.49.286.625 I slot print_timing: id  0 | task 3238 | n_gen =    100, tg =  14.32 t/s, tg_3s =  14.46 t/s
2026-09-26T08:56:12.293Z 3.49.849.675 I slot print_timing: id  3 | task 2971 | n_gen =    372, tg =  13.15 t/s, tg_3s =  14.30 t/s
2026-09-26T08:56:14.750Z 3.52.307.371 I slot print_timing: id  0 | task 3238 | n_gen =    143, tg =  14.29 t/s, tg_3s =  14.23 t/s
2026-09-26T08:56:15.315Z 3.52.872.508 I slot print_timing: id  3 | task 2971 | n_gen =    415, tg =  13.25 t/s, tg_3s =  14.23 t/s
2026-09-26T08:56:17.762Z 3.55.318.988 I slot print_timing: id  0 | task 3238 | n_gen =    186, tg =  14.29 t/s, tg_3s =  14.28 t/s
2026-09-26T08:56:18.328Z 3.55.885.204 I slot print_timing: id  3 | task 2971 | n_gen =    458, tg =  13.34 t/s, tg_3s =  14.27 t/s
2026-09-26T08:56:20.782Z 3.58.339.516 I slot print_timing: id  0 | task 3238 | n_gen =    229, tg =  14.28 t/s, tg_3s =  14.24 t/s
2026-09-26T08:56:21.348Z 3.58.904.780 I slot print_timing: id  3 | task 2971 | n_gen =    501, tg =  13.41 t/s, tg_3s =  14.24 t/s
2026-09-26T08:56:23.783Z 4.01.340.588 I slot print_timing: id  0 | task 3238 | n_gen =    269, tg =  14.13 t/s, tg_3s =  13.33 t/s
2026-09-26T08:56:24.381Z 4.01.937.289 I slot print_timing: id  3 | task 2971 | n_gen =    541, tg =  13.40 t/s, tg_3s =  13.19 t/s
2026-09-26T08:56:26.838Z 4.04.394.991 I slot print_timing: id  0 | task 3238 | n_gen =    309, tg =  13.99 t/s, tg_3s =  13.10 t/s
2026-09-26T08:56:27.412Z 4.04.968.693 I slot print_timing: id  3 | task 2971 | n_gen =    581, tg =  13.38 t/s, tg_3s =  13.20 t/s
2026-09-26T08:56:28.425Z 4.05.981.772 I slot print_timing: id  0 | task 3238 | prompt eval time =    2694.08 ms /   669 tokens (    4.03 ms per token,   248.32 tokens per second)
2026-09-26T08:56:28.425Z 4.05.981.777 I slot print_timing: id  0 | task 3238 |        eval time =   23608.68 ms /   330 tokens (   71.76 ms per token,    13.94 tokens per second)
2026-09-26T08:56:28.425Z 4.05.981.778 I slot print_timing: id  0 | task 3238 |       total time =   26302.76 ms /   999 tokens
2026-09-26T08:56:28.425Z 4.05.981.778 I slot print_timing: id  0 | task 3238 |    graphs reused =       3496
2026-09-26T08:56:28.426Z 4.05.983.682 I slot      release: id  0 | task 3238 | stop processing: n_tokens = 3095, truncated = 0
2026-09-26T08:56:29.009Z 4.06.566.574 I slot print_timing: id  3 | task 2971 | prompt eval time =   17832.97 ms /  3384 tokens (    5.27 ms per token,   189.76 tokens per second)
2026-09-26T08:56:29.009Z 4.06.566.577 I slot print_timing: id  3 | task 2971 |        eval time =   44936.03 ms /   602 tokens (   74.77 ms per token,    13.37 tokens per second)
2026-09-26T08:56:29.009Z 4.06.566.578 I slot print_timing: id  3 | task 2971 |       total time =   62769.00 ms /  3986 tokens
2026-09-26T08:56:29.009Z 4.06.566.600 I slot print_timing: id  3 | task 2971 |    graphs reused =       3503
2026-09-26T08:56:29.011Z 4.06.568.363 I slot      release: id  3 | task 2971 | stop processing: n_tokens = 3985, truncated = 0
2026-09-26T08:56:29.210Z 4.06.767.435 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.712 (> 0.100 thold), f_keep = 0.848
2026-09-26T08:56:29.211Z 4.06.767.747 I slot launch_slot_: id  3 | task 3580 | processing task, is_child = 0
2026-09-26T08:56:32.737Z 4.10.294.097 I slot print_timing: id  3 | task 3580 | prompt processing, n_tokens =   1362, progress = 1.00, t =   3.13 s / 434.46 tokens per second
2026-09-26T08:56:38.925Z 4.16.479.440 I slot print_timing: id  3 | task 3580 | n_gen =    100, tg =  23.28 t/s, tg_3s =  23.51 t/s
2026-09-26T08:56:41.923Z 4.19.479.696 I slot print_timing: id  3 | task 3580 | n_gen =    171, tg =  23.44 t/s, tg_3s =  23.66 t/s
2026-09-26T08:56:44.944Z 4.22.500.814 I slot print_timing: id  3 | task 3580 | n_gen =    242, tg =  23.46 t/s, tg_3s =  23.50 t/s
2026-09-26T08:56:47.980Z 4.25.537.204 I slot print_timing: id  3 | task 3580 | n_gen =    315, tg =  23.59 t/s, tg_3s =  24.04 t/s
2026-09-26T08:56:51.007Z 4.28.563.825 I slot print_timing: id  3 | task 3580 | n_gen =    391, tg =  23.87 t/s, tg_3s =  25.11 t/s
2026-09-26T08:56:54.024Z 4.31.581.150 I slot print_timing: id  3 | task 3580 | n_gen =    467, tg =  24.08 t/s, tg_3s =  25.19 t/s
2026-09-26T08:56:57.052Z 4.34.609.049 I slot print_timing: id  3 | task 3580 | n_gen =    543, tg =  24.22 t/s, tg_3s =  25.10 t/s
2026-09-26T08:57:00.069Z 4.37.626.069 I slot print_timing: id  3 | task 3580 | n_gen =    618, tg =  24.29 t/s, tg_3s =  24.86 t/s
2026-09-26T08:57:03.088Z 4.40.645.158 I slot print_timing: id  3 | task 3580 | n_gen =    694, tg =  24.39 t/s, tg_3s =  25.17 t/s
2026-09-26T08:57:04.122Z 4.41.678.926 I slot print_timing: id  3 | task 3580 | prompt eval time =    5067.36 ms /  1366 tokens (    3.71 ms per token,   269.57 tokens per second)
2026-09-26T08:57:04.122Z 4.41.678.930 I slot print_timing: id  3 | task 3580 |        eval time =   29452.38 ms /   720 tokens (   40.96 ms per token,    24.41 tokens per second)
2026-09-26T08:57:04.122Z 4.41.678.930 I slot print_timing: id  3 | task 3580 |       total time =   34519.74 ms /  2086 tokens
2026-09-26T08:57:04.122Z 4.41.678.931 I slot print_timing: id  3 | task 3580 |    graphs reused =       4221
2026-09-26T08:57:04.123Z 4.41.679.810 I slot      release: id  3 | task 3580 | stop processing: n_tokens = 5465, truncated = 0
2026-09-26T08:57:04.155Z 4.41.711.999 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.691 (> 0.100 thold), f_keep = 0.627
2026-09-26T08:57:04.155Z 4.41.712.068 I slot launch_slot_: id  3 | task 4304 | processing task, is_child = 0
2026-09-26T08:57:07.795Z 4.45.352.052 I slot print_timing: id  3 | task 4304 | prompt processing, n_tokens =   1576, progress = 1.00, t =   3.64 s / 432.98 tokens per second
2026-09-26T08:57:13.497Z 4.51.054.364 I slot print_timing: id  3 | task 4304 | n_gen =    100, tg =  25.49 t/s, tg_3s =  25.75 t/s
